year,fips,state,region,population_est,anxiety_ct,trauma_stress_ct,adhd_ct,bipolar_ct,depression_ct,comm_psych_care,outpatient_util,state_psych_care,private_psych_care,resid_psych_care,total_inpatient,inpatient_util,total_civilian,total_util,median_adhd,median_ptsd,median_anxiety,median_bipolar,median_depression,median_mental_hospital,median_psychiatrists_near_me,median_psychologist_near_me,median_therapist_near_me,median_all_trends,mean_adhd,mean_ptsd,mean_anxiety,mean_bipolar,mean_depression,mean_mental_hospital,mean_psychiatrists_near_me,mean_psychologist_near_me,mean_therapist_near_me,mean_all_trends,total_facilities,mental_health_only,inpatient_facilities,pct_pharmacotherapy,pct_free_services,pct_medicare_services,pct_youth_services,pct_counseling_services,per_capita_total_facilities,per_capita_mental_health_only,per_capita_inpatient_facilities
2013,48,TX,South,26479646,30953,24900,32889,78713,75727,313658,0.011845248988600527,606171,608360,622246,1836777,0.069365618,2150435,0.081210867,21.5,8,45.5,21.5,57,38,0,0,0,21.5,21.33333333,8.333333333,45.83333333,21.91666667,55,37.75,0,0,0,21.129629629222222,,,,,,,,,,,
2013,49,UT,West Pacific,2898773,13732,8363,6393,7873,14256,46457,0.016026436,90980,89773,91027,271780,0.09375691,318237,0.109783346,20,8,47,19,61.5,28.5,0,0,0,19,19.83333333,8.75,46.25,19.41666667,58.83333333,25.58333333,0,1.166666667,0,19.981481480777777,,,,,,,,,,,
2013,50,VT,Atlantic,626603,3379,7550,2194,2008,5422,24492,0.03908695,48870,48870,46788,144528,0.23065322061975446,169020,0.26974017,21,11,50,21,61.5,0,0,0,0,11,20.16666667,11.08333333,48.75,19.75,59.33333333,0,0,0,0,17.675925925555557,,,,,,,,,,,
2013,51,VA,South,8255861,21422,19027,18967,29164,36816,110775,0.013417740439186173,214993,219398,219398,653789,0.079190892,764564,0.092608633,23.5,10.5,52,22,62,30,0,0,0,22,22.58333333,10.58333333,51.91666667,21.91666667,60.58333333,30.5,0,0,0,22.00925925888889,,,,,,,,,,,
2013,53,WA,West Pacific,6966252,18855,31489,7322,21972,49811,150183,0.021558651625005813,292971,286047,295848,874866,0.12558632676509549,1025049,0.147144978,21.5,12,54.5,21,61.5,44,0,0,0,21,20.75,12.58333333,54.25,21.83333333,60.5,43.33333333,0,0,0,23.69444444333333,,,,,,,,,,,
2013,55,WI,Central,5738012,10992,14090,5093,18133,27939,104142,0.018149491496357972,191185,183617,193001,567803,0.098954655,671945,0.117104147,22,9,51.5,21,66.5,45.5,0,0,0,21,21,9.083333333,51.75,20.66666667,63.16666667,44.25,0,0,1.416666667,23.48148148222222,,,,,,,,,,,
2013,56,WY,West Pacific,582620,3068,3975,1533,2368,5554,16892,0.028993168789262298,32871,33164,33164,99199,0.1702636366757063,116091,0.199256805,15.5,0,43.5,19.5,66,0,0,0,0,0,17.16666667,3.083333333,43.16666667,19.41666667,63,0,0,0,0,16.203703704777777,,,,,,,,,,,
2014,1,AL,South,4843737,14618,9797,15268,17473,28848,95056,0.019624517185800962,187373,186847,188876,563096,0.11625238942576775,658152,0.135876907,23,11,49.5,23,67.5,34,0,0,0,23,22.66666667,10.66666667,49.08333333,22.66666667,64.75,34.16666667,0,0,0,22.66666666777778,,,,,,,,,,,
2014,4,AZ,West Pacific,6732873,36309,38608,31573,42697,40473,158327,0.023515518560947163,316056,306313,316066,938435,0.13938106362618158,1096762,0.162896582,20.5,12,56.5,23,70.5,34,0,0,0,20.5,20.91666667,12.5,57.75,22.83333333,68.75,33.41666667,0,0,0,24.018518518888886,,,,,,,,,,,
2014,5,AR,South,2968759,6910,8581,4218,13279,17221,68073,0.022929783118131177,134299,132270,134794,401363,0.13519554803875963,469436,0.158125331,25.5,12,55,26,73,40.5,0,0,0,25.5,24.16666667,12.41666667,56.08333333,25.33333333,72.25,30.41666667,0,0,0,24.51851851888889,,,,,,,,,,,
